Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SJH,SJD,SJA,VCH,VCD,VCA,WHH,WHD,WHA
Netherlands,Eredivisie,2016-2017,N1,2016-08-20,Roda,Vitesse,0,1,A,3.2,3.5,2.15,,,,3.0,3.4,2.2,,,,3.1,3.4,2.1,3.1,3.5,2.15,,,,3.13,3.6,2.2,3.0,3.3,2.2
Netherlands,Eredivisie,2016-2017,N1,2016-08-20,Zwolle,PSV Eindhoven,0,4,A,6.0,4.33,1.5,,,,5.75,4.25,1.48,,,,7.0,4.2,1.4,5.25,4.33,1.55,,,,6.0,4.6,1.5,5.0,4.2,1.53
Netherlands,Eredivisie,2016-2017,N1,2016-08-21,Groningen,Twente,3,4,A,2.0,3.5,3.6,,,,2.1,3.4,3.2,,,,2.1,3.4,3.1,2.05,3.5,3.4,,,,2.1,3.7,3.3,2.15,3.4,3.0
Netherlands,Eredivisie,2016-2017,N1,2016-08-21,Heracles,Feyenoord,0,1,A,4.33,4.0,1.73,,,,4.75,3.75,1.65,,,,4.6,3.7,1.65,4.2,3.8,1.8,,,,4.4,4.0,1.75,4.5,3.75,1.67
Netherlands,Eredivisie,2016-2017,N1,2016-08-21,Sparta Rotterdam,Go Ahead Eagles,1,0,H,1.73,3.75,4.5,,,,1.75,3.6,4.25,,,,1.75,3.5,4.3,1.73,3.8,4.33,,,,1.73,4.0,4.6,1.73,3.6,4.33
Netherlands,Eredivisie,2016-2017,N1,2016-08-21,Utrecht,AZ Alkmaar,1,2,A,2.3,3.5,2.9,,,,2.2,3.4,3.0,,,,2.4,3.4,2.65,2.3,3.5,2.8,,,,2.38,3.7,2.8,2.3,3.5,2.7
Netherlands,Eredivisie,2016-2017,N1,2016-08-26,Vitesse,Utrecht,1,1,D,1.91,3.6,3.75,,,,1.87,3.6,3.7,,,,1.9,3.5,3.6,1.95,3.6,3.6,,,,2.0,3.75,3.6,1.95,3.5,3.4
Netherlands,Eredivisie,2016-2017,N1,2016-08-27,Feyenoord,Excelsior,4,1,H,1.18,6.5,15.0,,,,1.19,6.25,13.0,,,,1.15,6.5,13.0,1.18,7.0,15.0,,,,1.15,8.0,18.0,1.15,6.5,15.0
Netherlands,Eredivisie,2016-2017,N1,2016-08-27,Heerenveen,Zwolle,1,0,H,2.0,3.5,3.6,,,,2.0,3.4,3.5,,,,2.0,3.4,3.3,1.95,3.6,3.6,,,,2.0,3.8,3.5,2.0,3.6,3.2
Netherlands,Eredivisie,2016-2017,N1,2016-08-27,Twente,Sparta Rotterdam,3,1,H,1.91,3.75,3.6,,,,1.78,3.7,4.1,,,,1.75,3.6,4.0,1.85,3.8,3.8,,,,1.9,3.9,3.75,1.75,3.75,4.0
